job_id,skills
426.0,airflow
430.0,cloud
430.0,aws
430.0,azure
432.0,r
432.0,scala
432.0,cloud
432.0,python
432.0,matlab
432.0,hadoop
432.0,machine_learning
432.0,spark
433.0,data_lake
433.0,cloud
433.0,python
433.0,server
433.0,powershell
433.0,c
433.0,oracle
433.0,microsoft
433.0,aws
433.0,sql
433.0,nosql
433.0,azure
433.0,ssis
436.0,bloomberg
436.0,aws
436.0,python
436.0,redshift
436.0,postgres
436.0,machine_learning
436.0,golang
440.0,cloud
440.0,aws
440.0,azure
446.0,cloud
446.0,aws
446.0,azure
447.0,java
447.0,python
447.0,etl
450.0,cloud
450.0,aws
450.0,azure
451.0,python
451.0,etl
451.0,snowflake
451.0,sql
456.0,database
456.0,word
456.0,server
456.0,powerpoint
456.0,microstrategy
456.0,mssql
456.0,etl
456.0,sql
456.0,golang
456.0,excel
456.0,ssis
456.0,ssrs
462.0,
464.0,cloud
464.0,aws
464.0,azure
465.0,
474.0,cloud
474.0,aws
474.0,azure
477.0,python
477.0,docker
477.0,r
477.0,saas
477.0,spark
477.0,ci/cd
477.0,aws
477.0,ai
477.0,pyspark
477.0,redshift
477.0,sql
477.0,apache
477.0,machine_learning
477.0,golang
477.0,airflow
477.0,dplyr
479.0,cloud
479.0,aws
479.0,azure
484.0,database
484.0,cloud
484.0,agile
484.0,python
484.0,spark
484.0,ci/cd
484.0,aws
484.0,pyspark
484.0,sql
490.0,python
490.0,r
490.0,qlik
490.0,ai
490.0,redshift
490.0,tableau
490.0,snowflake
490.0,sql
491.0,
496.0,cloud
496.0,python
496.0,json
496.0,mongodb
496.0,java
496.0,aws
496.0,mysql
496.0,redshift
496.0,tableau
496.0,sql
496.0,nosql
496.0,scala
496.0,c++
496.0,powerbi
507.0,powerbi
507.0,ai
507.0,tableau
514.0,
518.0,r
518.0,python
518.0,machine_learning
518.0,sas
518.0,tableau
518.0,sql
518.0,powerbi
520.0,qlik
521.0,data_lake
521.0,graphql
521.0,cloud
521.0,python
521.0,bigquery
521.0,node
521.0,docker
521.0,bi
521.0,sql
521.0,airflow
521.0,postgres
526.0,gitlab
526.0,agile
526.0,jira
526.0,bi
526.0,git
526.0,scrum
526.0,looker
526.0,aws
526.0,redshift
526.0,tableau
526.0,etl
526.0,sql
526.0,airflow
529.0,r
529.0,cloud
529.0,ai
529.0,agile
529.0,python
529.0,slack
529.0,machine_learning
529.0,mlops
531.0,iot
531.0,warehousing
531.0,cloud
531.0,gcp
531.0,looker
531.0,spark
532.0,r
532.0,scala
532.0,saas
532.0,aws
532.0,pyspark
532.0,ai
532.0,spark
534.0,data_lake
534.0,github
534.0,ci/cd
534.0,cloud
534.0,agile/scrum
534.0,shell
534.0,aws
534.0,agile
534.0,redshift
534.0,python
534.0,hadoop
534.0,sql
534.0,devops
534.0,azure
537.0,data_lake
537.0,ibm
537.0,etl
537.0,sql
540.0,python
540.0,hadoop
540.0,c
540.0,spark
540.0,java
540.0,sql
540.0,machine_learning
540.0,scala
540.0,airflow
541.0,cloud
541.0,aws
541.0,azure
546.0,cloud
546.0,aws
546.0,azure
548.0,excel
548.0,spss
548.0,python
548.0,sql
548.0,golang
549.0,cloud
549.0,aws
549.0,azure
553.0,cloud
553.0,aws
553.0,azure
557.0,data_lake
557.0,cloud
557.0,aws
557.0,redshift
557.0,python
557.0,sql
557.0,spark
562.0,python
562.0,machine_learning
562.0,ai
563.0,sql
563.0,ai
563.0,machine_learning
564.0,
569.0,cloud
569.0,aws
569.0,azure
573.0,aws
573.0,splunk
573.0,python
573.0,tableau
576.0,cloud
576.0,aws
576.0,python
576.0,sql
578.0,database
578.0,agile
578.0,mysql
578.0,etl
578.0,sql
584.0,data_lake
584.0,excel
584.0,warehousing
584.0,ssis
584.0,mssql
584.0,ssas
584.0,cloud
584.0,python
584.0,etl
584.0,sql
584.0,server
584.0,azure
584.0,spark
585.0,data_lake
585.0,warehousing
585.0,ssis
585.0,microsoft
585.0,dax
585.0,powerbi
585.0,sql
585.0,server
585.0,ai
585.0,machine_learning
585.0,azure
587.0,cloud
587.0,aws
587.0,azure
588.0,
589.0,python
589.0,sql
593.0,scrum
593.0,cloud
593.0,aws
593.0,ai
593.0,python
593.0,machine_learning
595.0,airflow
595.0,aws
595.0,ai
595.0,python
595.0,tableau
595.0,snowflake
595.0,sql
595.0,docker
595.0,nosql
595.0,mongodb
595.0,machine_learning
595.0,powerbi
595.0,postgres
598.0,cloud
598.0,aws
598.0,azure
602.0,oracle
602.0,database
602.0,redis
602.0,powerbi
602.0,agile
602.0,sql
602.0,nosql
619.0,r
619.0,excel
619.0,database
619.0,spss
619.0,microsoft
619.0,word
619.0,powerbi
619.0,mysql
619.0,powerpoint
619.0,tableau
619.0,sql
619.0,outlook
620.0,
621.0,scala
621.0,redis
621.0,cloud
621.0,gcp
621.0,json
621.0,java
621.0,data_lake
621.0,aws
621.0,python
621.0,etl
621.0,hadoop
621.0,nosql
621.0,azure
621.0,spark
625.0,r
625.0,cloud
625.0,powerbi
625.0,python
625.0,tableau
625.0,snowflake
625.0,sql
625.0,azure
626.0,database
626.0,cloud
626.0,macros
626.0,mssql
626.0,tableau
626.0,sql
626.0,nosql
626.0,excel
626.0,powerbi
638.0,spreadsheet
638.0,database
638.0,python
638.0,bi
638.0,looker
638.0,tableau
638.0,sql
639.0,cloud
639.0,aws
639.0,azure
642.0,cloud
642.0,aws
642.0,azure
643.0,
644.0,database
644.0,cloud
644.0,python
644.0,hadoop
644.0,r
644.0,looker
644.0,spark
644.0,java
644.0,aws
644.0,tableau
644.0,etl
644.0,sql
644.0,apache
644.0,golang
644.0,airflow
652.0,mssql
652.0,atlassian
652.0,database
652.0,scrum
652.0,mysql
652.0,agile
652.0,postgres
652.0,jira
652.0,sql
653.0,cloud
653.0,aws
653.0,azure
656.0,
662.0,data_lake
662.0,bash
662.0,cloud
662.0,database
662.0,python
662.0,redshift
662.0,tableau
662.0,etl
662.0,hadoop
662.0,snowflake
662.0,sql
662.0,nosql
662.0,powerbi
662.0,spark
663.0,cloud
663.0,agile
663.0,python
663.0,jira
663.0,bi
663.0,git
663.0,mongodb
663.0,devops
663.0,spark
663.0,ci/cd
663.0,aws
663.0,sql
663.0,nosql
663.0,apache
663.0,airflow
666.0,sap
666.0,database
666.0,cloud
666.0,agile/scrum
666.0,python
666.0,gdpr
666.0,ibm
666.0,aws
666.0,redshift
666.0,etl
666.0,snowflake
666.0,sql
666.0,airflow
666.0,postgres
669.0,pl/sql
669.0,cloud
669.0,gitlab
669.0,ruby
669.0,python
669.0,hadoop
669.0,r
669.0,frontend
669.0,slack
669.0,looker
669.0,ci/cd
669.0,aws
669.0,redshift
669.0,etl
669.0,postgres
669.0,snowflake
669.0,sql
669.0,golang
669.0,bash
671.0,linux/unix
671.0,github
671.0,python
671.0,airflow
671.0,json
671.0,redshift
671.0,xml
671.0,snowflake
671.0,docker
671.0,nosql
671.0,spark
672.0,
673.0,
680.0,database
680.0,sas
680.0,tableau
680.0,etl
680.0,snowflake
683.0,ci/cd
683.0,cloud
683.0,pyspark
683.0,python
683.0,sql
683.0,azure
683.0,spark
686.0,
687.0,scala
687.0,airflow
687.0,cloud
687.0,java
687.0,aws
687.0,agile
687.0,python
687.0,redshift
687.0,tableau
687.0,linux
687.0,snowflake
687.0,sql
687.0,apache
687.0,bi
687.0,spark
688.0,python
688.0,hadoop
688.0,bi
688.0,php
688.0,spark
688.0,sql
689.0,
691.0,oracle
691.0,warehousing
691.0,scrum
691.0,cloud
691.0,json
691.0,java
691.0,shell
691.0,aws
691.0,html
691.0,agile
691.0,python
691.0,xml
691.0,linux
691.0,snowflake
691.0,sql
691.0,kanban
691.0,azure
696.0,cloud
696.0,aws
696.0,azure
697.0,powershell
697.0,database
697.0,git
697.0,cloud
697.0,saas
697.0,powerbi
697.0,agile
697.0,etl
697.0,snowflake
697.0,sql
697.0,bi
697.0,devops
697.0,azure
698.0,excel
698.0,database
698.0,mysql
698.0,agile
698.0,sql
700.0,excel
700.0,microsoft
700.0,outlook
700.0,word
702.0,scala
702.0,sap
702.0,git
702.0,ci/cd
702.0,pyspark
702.0,sql
702.0,ai
702.0,javascript
702.0,azure
702.0,spark
706.0,data_lake
706.0,database
706.0,python
706.0,hadoop
706.0,ibm
706.0,oracle
706.0,microsoft
706.0,sql
711.0,python
711.0,saas
711.0,etl
711.0,sql
711.0,machine_learning
712.0,database
712.0,ruby
712.0,node.js
712.0,saas
712.0,slack
712.0,looker
712.0,warehousing
712.0,redis
712.0,aws
712.0,redshift
712.0,etl
712.0,postgres
715.0,backend
715.0,aws
715.0,machine_learning
715.0,sql
715.0,docker
717.0,
719.0,agile
719.0,etl
719.0,hadoop
719.0,spark
721.0,python
721.0,database
721.0,warehousing
721.0,aws
721.0,mysql
721.0,redshift
721.0,etl
721.0,nosql
721.0,snowflake
721.0,sql
722.0,python
722.0,r
722.0,sql
723.0,database
723.0,git
723.0,ci/cd
723.0,cloud
723.0,aws
723.0,agile
723.0,python
723.0,apache
724.0,
726.0,cloud
726.0,python
726.0,bigquery
726.0,r
726.0,looker
726.0,aws
726.0,etl
726.0,snowflake
726.0,sql
726.0,machine_learning
726.0,airflow
726.0,terminal
728.0,excel
728.0,powerbi
728.0,python
729.0,cloud
729.0,python
729.0,jira
729.0,bi
729.0,r
729.0,github
729.0,aws
729.0,machine_learning
729.0,ai
729.0,azure
732.0,microsoft
732.0,cloud
732.0,gcp
732.0,aws
732.0,redshift
732.0,looker
732.0,azure
738.0,cloud
738.0,docker
738.0,spark
738.0,aws
738.0,redshift
738.0,etl
738.0,snowflake
738.0,scala
738.0,airflow
738.0,postgres
744.0,agile
744.0,python
744.0,bi
744.0,ios
